æbəhəlimə:abohalima;:,æb:ab,əh:oh,əl:al,im:im,ə:a;~~æ~ə~ə~i~ə~
ɛlsən:elson;:,ɛls:els,ən:on;~~ɛ~ə~
ɔlsəʊ:also;:,ɔls:als,əʊ:o;~~ɔ~əʊ~
ɔlweɪz:always;:,ɔlw:alw,eɪz:ays;~~ɔ~eɪ~
ɛləfənt:elephant;:,ɛl:el,əf:eph,ənt:ant;~~ɛ~ə~ə~
ɛləmənt:element;:,ɛl:el,əm:em,ənt:ent;~~ɛ~ə~ə~
ʌmbɹɛlə:umbrella;:,ʌmbɹ:umbr,ɛl:ell,ə:a;~~ʌ~ɛ~ə~
ɛmpaɪəɹ:empire;:,ɛmp:emp,aɪ:i,əɹ:re;~~ɛ~aɪ~ə~
ɛmptɪ:empty;:,ɛmpt:empt,ɪ:y;~~ɛ~ɪ~
ɛmtɪ:empty;:,ɛmt:empt,ɪ:y;~~ɛ~ɪ~
ɪmədʒ:image;:,ɪm:im,ədʒ:age;~~ɪ~ə~
ɪmədʒəz:images;:,ɪm:im,ədʒ:ag,əz:es;~~ɪ~ə~ə~
ɑmən:aman;:,ɑm:am,ən:an;~~ɑ~ə~
ɪməteɪt:imitate;:,ɪm:im,ət:it,eɪt:ate;~~ɪ~ə~eɪ~
ɪndɔɹ:indoor;:,ɪn:in,d:d,ɔɹ:oor;~~ɪ~~ɔ~
ɪndɔɹz:indoors;:,ɪn:in,d:d,ɔɹz:oors;~~ɪ~~ɔ~
ɛnfəɹ:enfor;:,ɛn:en,f:f,əɹ:or;~~ɛ~~ə~
ɛntɹəl:entrail;:,ɛn:en,tɹ:tr,əl:ail;~~ɛ~~ə~
ɪnwɜɹdz:inwards;:,ɪn:in,w:w,ɜɹdz:ards;~~ɪ~~ɜ~
ɪn:inn;:,ɪn:inn;~~ɪ~
ɑn:on;:,ɑn:on;~~ɑ~
ɛndlɛs:endless;:,ɛnd:end,l:l,ɛs:ess;~~ɛ~~ɛ~
ɛnd:end;:,ɛnd:end;~~ɛ~
ɪndəkeɪt:indicate;:,ɪnd:ind,ək:ic,eɪt:ate;~~ɪ~ə~eɪ~
ɪndəstɹɪ:industry;:,ɪnd:ind,əstɹ:ustr,ɪ:y;~~ɪ~ə~ɪ~
ʌndəɹ:under;:,ʌnd:und,əɹ:er;~~ʌ~ə~
ɪndɪə:india;:,ɪnd:ind,ɪ:i,ə:a;~~ɪ~ɪ~ə~
ɛndʒən:engine;:,ɛndʒ:eng,ən:ine;~~ɛ~ə~
ɛndʒənɪə:engineer;:,ɛndʒ:eng,ən:in,ɪ:eer;~~ɛ~ə~ɪ~ə~
ɪndʒəɹz:injures;:,ɪndʒ:inj,əɹz:ures;~~ɪ~ə~
ɪnfluəns:influence;:,ɪnfl:infl,u:u,əns:ence;~~ɪ~u~ə~
ɪnkʌm:income;:,ɪnk:inc,ʌm:ome;~~ɪ~ʌ~
ɔnlaɪn:online;:,ɔnl:onl,aɪn:ine;~~ɔ~aɪ~
ɪnstənt:instant;:,ɪnst:inst,ənt:ant;~~ɪ~ə~
ɪnstɹʊmənt:instrument;:,ɪnstɹ:instr,ʊm:um,ənt:ent;~~ɪ~ʊ~ə~
ɪnsɛkt:insect;:,ɪns:ins,ɛkt:ect;~~ɪ~ɛ~
ɪnsɛns:incense;:,ɪns:inc,ɛns:ense;~~ɪ~ɛ~
ɪntu:into;:,ɪnt:int,u:o;~~ɪ~u~
ɑntu:onto;:,ɑnt:ont,u:o;~~ɑ~u~
ɪntʃ:inch;:,ɪntʃ:inch;~~ɪ~
ɪntəɹfeɪs:interface;:,ɪnt:int,əɹ:er,f:f,eɪs:ace;~~ɪ~ə~~eɪ~
ɛntəɹ:enter;:,ɛnt:ent,əɹ:er;~~ɛ~ə~
ɪntəɹnɛt:internet;:,ɪnt:int,əɹn:ern,ɛt:et;~~ɪ~ə~ɛ~
ɪntəɹvju:interview;:,ɪnt:int,əɹvj:ervi,u:ew;~~ɪ~ə~u~
ɪntəɹɛst:interest;:,ɪnt:int,əɹ:er,ɛst:est;~~ɪ~ə~ɛ~
ɪntəɹɛstɪd:interested;:,ɪnt:int,əɹ:er,ɛst:est,ɪd:ed;~~ɪ~ə~ɛ~ɪ~
ɪntəɹɛstɪŋ:interesting;:,ɪnt:int,əɹ:er,ɛst:est,ɪŋ:ing;~~ɪ~ə~ɛ~ɪ~
ɛntɹəns:entrance;:,ɛntɹ:entr,əns:ance;~~ɛ~ə~
ɛnvɪ:envy;:,ɛnv:env,ɪ:y;~~ɛ~ɪ~
ɛnvəloʊp:envelope;:,ɛnv:env,əl:el,oʊp:ope;~~ɛ~ə~oʊ~
ɪnwəɹd:inward;:,ɪnw:inw,əɹd:ard;~~ɪ~ə~
ʌnjən:onion;:,ʌnj:on,ən:ion;~~ʌ~ə~
ɛnɪ:any;:,ɛn:an,ɪ:y;~~ɛ~ɪ~
ɛnɪbədɪ:anybody;:,ɛn:an,ɪb:yb,əd:od,ɪ:y;~~ɛ~ɪ~ə~ɪ~
ɛnɪhaʊ:anyhow;:,ɛn:an,ɪh:yh,aʊ:ow;~~ɛ~ɪ~aʊ~
ɛnəmɪ:enemy;:,ɛn:en,əm:em,ɪ:y;~~ɛ~ə~ɪ~
ɑnəst:honest;:h,ɑn:on,əst:est;~~ɑ~ə~
ɑnəstɪ:honesty;:h,ɑn:on,əst:est,ɪ:y;~~ɑ~ə~ɪ~
ɛnɪweɪ:anyway;:,ɛn:an,ɪw:yw,eɪ:ay;~~ɛ~ɪ~eɪ~
ɛnɪwʌn:anyone;:,ɛn:an,ɪw:y,ʌn:one;~~ɛ~ɪ~ʌ~
ɛnɪwɛɹ:anywhere;:,ɛn:an,ɪw:ywh,ɛɹ:ere;~~ɛ~ɪ~ɛ~
ɑnəɹ:honor;:h,ɑn:on,əɹ:or;~~ɑ~ə~
ɪnəɹ:inner;:,ɪn:inn,əɹ:er;~~ɪ~ə~
ʌnɪən:onion;:,ʌn:on,ɪ:i,ən:on;~~ʌ~ɪ~ə~
ɛnəɹdʒɪ:energy;:,ɛn:en,əɹdʒ:erg,ɪ:y;~~ɛ~ə~ɪ~
ɑnəɹəbl:honorable;:h,ɑn:on,əɹ:or,əbl:able;~~ɑ~ə~ə~
ɛnɪθɪŋ:anything;:,ɛn:an,ɪθ:yth,ɪŋ:ing;~~ɛ~ɪ~ɪ~
ɪnəɡɹeɪt:integrate;:,ɪn:int,əɡɹ:egr,eɪt:ate;~~ɪ~ə~eɪ~
ʌpsaɪd:upside;:,ʌp:up,s:s,aɪd:ide;~~ʌ~~aɪ~
ʌp:up;:,ʌp:up;~~ʌ~
ɑpt:opt;:,ɑpt:opt;~~ɑ~
ɑpɪk:opic;:,ɑp:op,ɪk:ic;~~ɑ~ɪ~
ɛpɪsoʊd:episode;:,ɛp:ep,ɪs:is,oʊd:ode;~~ɛ~ɪ~oʊ~
ɛpɪsoʊdz:episodes;:,ɛp:ep,ɪs:is,oʊdz:odes;~~ɛ~ɪ~oʊ~
ɑpəzɪt:opposite;:,ɑp:opp,əz:os,ɪt:ite;~~ɑ~ə~ɪ~
ʌpəɹmoʊst:uppermost;:,ʌp:upp,əɹ:er,m:m,oʊst:ost;~~ʌ~ə~~oʊ~
ʌpəɹ:upper;:,ʌp:upp,əɹ:er;~~ʌ~ə~
ɑpəɹeɪt:operate;:,ɑp:op,əɹ:er,eɪt:ate;~~ɑ~ə~eɪ~
ɑpəɹeɪtəɹ:operator;:,ɑp:op,əɹ:er,eɪt:at,əɹ:or;~~ɑ~ə~eɪ~ə~
ɑpʃən:option;:,ɑpʃ:opt,ən:ion;~~ɑ~ə~
ɑpʃənz:options;:,ɑpʃ:opt,ənz:ions;~~ɑ~ə~
ʌs:us;:,ʌs:us;~~ʌ~
ɪslɑm:islam;:,ɪsl:isl,ɑm:am;~~ɪ~ɑ~
ɔspɹɪ:osprey;:,ɔspɹ:ospr,ɪ:ey;~~ɔ~ɪ~
ɔst:aust;:,ɔst:aust;~~ɔ~
ɑstəɹtəɡ:ostertag;:,ɑst:ost,əɹ:er,t:t,əɡ:ag;~~ɑ~ə~~ə~
ɛsəns:essence;:,ɛs:ess,əns:ence;~~ɛ~ə~
ɪt:it;:,ɪt:it;~~ɪ~
ɔt:ought;:,ɔt:ought;~~ɔ~
ɪts:it's;:,ɪts:it's;~~ɪ~
ɪts:its;:,ɪts:its;~~ɪ~
ɔtəm:autumn;:,ɔt:aut,əm:umn;~~ɔ~ə~
ʌv:of;:,ʌv:of;~~ʌ~
ɛvədəns:evidence;:,ɛv:ev,əd:id,əns:ence;~~ɛ~ə~ə~
ɛvəɹ:ever;:,ɛv:ev,əɹ:er;~~ɛ~ə~
ɛvəɹɪdʒ:everage;:,ɛv:ev,əɹ:er,ɪdʒ:age;~~ɛ~ə~ɪ~
ɛvəɹɪdʒ:everidge;:,ɛv:ev,əɹ:er,ɪdʒ:idge;~~ɛ~ə~ɪ~
ɛvɹɪ:every;:,ɛvɹ:ever,ɪ:y;~~ɛ~ɪ~
ɛvɹɪbɑdɪ:everybody;:,ɛvɹ:ever,ɪb:yb,ɑd:od,ɪ:y;~~ɛ~ɪ~ɑ~ɪ~
ɛvɹɪdeɪ:everyday;:,ɛvɹ:ever,ɪd:yd,eɪ:ay;~~ɛ~ɪ~eɪ~
ɛvɹɪwʌn:everyone;:,ɛvɹ:ever,ɪw:y,ʌn:one;~~ɛ~ɪ~ʌ~
ɛvɹɪwʌnz:everyone's;:,ɛvɹ:ever,ɪw:y,ʌnz:one's;~~ɛ~ɪ~ʌ~
ɛvɹɪwɛɹ:everywhere;:,ɛvɹ:ever,ɪw:ywh,ɛɹ:ere;~~ɛ~ɪ~ɛ~
ɛvɹɪθɪŋ:everything;:,ɛvɹ:ever,ɪθ:yth,ɪŋ:ing;~~ɛ~ɪ~ɪ~
ɪz:is;:,ɪz:is;~~ɪ~
ʌðəɹwaɪz:otherwise;:,ʌð:oth,əɹ:er,w:w,aɪz:ise;~~ʌ~ə~~aɪ~
ʌðəɹ:other;:,ʌð:oth,əɹ:er;~~ʌ~ə~
ʌðəɹz:others;:,ʌð:oth,əɹz:ers;~~ʌ~ə~
ɛɹfɔɹs:airforce;:,ɛɹ:air,f:f,ɔɹs:orce;~~ɛ~~ɔ~
ɛɹkɹæft:aircraft;:,ɛɹ:air,kɹ:cr,æft:aft;~~ɛ~~æ~
ɛɡplænt:eggplant;:,ɛɡ:egg,pl:pl,ænt:ant;~~ɛ~~æ~
ɛɹpleɪn:airplane;:,ɛɹ:air,pl:pl,eɪn:ane;~~ɛ~~eɪ~
ɛɹpɔɹt:airport;:,ɛɹ:air,p:p,ɔɹt:ort;~~ɛ~~ɔ~
ɛŋɡəndəɹz:engenders;:,ɛŋ:en,ɡ:g,ənd:end,əɹz:ers;~~ɛ~~ə~ə~
ɑɹ:are;:,ɑɹ:are;~~ɑ~
ɛɡ:egg;:,ɛɡ:egg;~~ɛ~
ɔɹ:or;:,ɔɹ:or;~~ɔ~
ɔɹ:oar;:,ɔɹ:oar;~~ɔ~
ɛə:air;:,ɛ:ai,ə:r;~~ɛ~ə~
ɛəpawəɹ:airpower;:,ɛ:ai,əp:rp,aw:ow,əɹ:er;~~ɛ~ə~a~ə~
ɜɹdʒ:urge;:,ɜɹdʒ:urge;~~ɜ~
ɔɹdənɛɹɪ:ordinary;:,ɔɹd:ord,ən:in,ɛɹ:ar,ɪ:y;~~ɔ~ə~ɛ~ɪ~
ɔɹdəɹ:order;:,ɔɹd:ord,əɹ:er;~~ɔ~ə~
ɜɹdʒənt:urgent;:,ɜɹdʒ:urg,ənt:ent;~~ɜ~ə~
ɪŋk:ink;:,ɪŋk:ink;~~ɪ~
ʌŋkəl:uncle;:,ʌŋk:unc,əl:le;~~ʌ~ə~
ɜɹlɪ:early;:,ɜɹl:earl,ɪ:y;~~ɜ~ɪ~
ʌɡlɪ:ugly;:,ʌɡl:ugl,ɪ:y;~~ʌ~ɪ~
ɜɹlɪəɹ:earlier;:,ɜɹl:earl,ɪ:i,əɹ:er;~~ɜ~ɪ~ə~
ɑɹm:arm;:,ɑɹm:arm;~~ɑ~
ɑɹmz:arms;:,ɑɹmz:arms;~~ɑ~
ɑɹmɪ:army;:,ɑɹm:arm,ɪ:y;~~ɑ~ɪ~
ɑɹməɹ:armor;:,ɑɹm:arm,əɹ:or;~~ɑ~ə~
ɜɹn:earn;:,ɜɹn:earn;~~ɜ~
ɔɹnəmənt:ornament;:,ɔɹn:orn,əm:am,ənt:ent;~~ɔ~ə~ə~
ɜɹnɪst:earnest;:,ɜɹn:earn,ɪst:est;~~ɜ~ɪ~
ɜɹnəɹ:earner;:,ɜɹn:earn,əɹ:er;~~ɜ~ə~
ɜɹsən:urson;:,ɜɹs:urs,ən:on;~~ɜ~ə~
ɑɹt:art;:,ɑɹt:art;~~ɑ~
ɑɹtʃ:arch;:,ɑɹtʃ:arch;~~ɑ~
ɑɹtəkəl:article;:,ɑɹt:art,ək:ic,əl:le;~~ɑ~ə~ə~
ɑɹtəkəl:article;:,ɑɹt:art,ək:ic,əl:l,_:e;~~ɑ~ə~ə~
ɑɹtəst:artist;:,ɑɹt:art,əst:ist;~~ɑ~ə~
ɪʃu:issue;:,ɪʃ:iss,u:ue;~~ɪ~u~
ɪʃuz:issues;:,ɪʃ:iss,uz:ues;~~ɪ~u~
ɜɹθ:earth;:,ɜɹθ:earth;~~ɜ~
ɔɹədʒɪn:origin;:,ɔɹ:or,ədʒ:ig,ɪn:in;~~ɔ~ə~ɪ~
ɔɹəndʒ:orange;:,ɔɹ:or,əndʒ:ange;~~ɔ~ə~
ɑɡəst:august;:,ɑɡ:aug,əst:ust;~~ɑ~ə~
ɔθəɹ:author;:,ɔθ:auth,əɹ:or;~~ɔ~ə~
ɛɹɪə:area;:,ɛɹ:a,ɪ:re,ə:a;~~ɛ~ɪ~ə~
ɛɹɪəz:areas;:,ɛɹ:a,ɪ:re,əz:as;~~ɛ~ɪ~ə~
ɪŋɡlɪʃ:english;:,ɪŋɡl:engl,ɪʃ:ish;~~ɪ~ɪ~
ɑɹɡju:argue;:,ɑɹɡj:argu,u:e;~~ɑ~u~
ɑɹɡjuz:argues;:,ɑɹɡj:argu,uz:es;~~ɑ~u~
ɑɹɡjəmɛnt:argument;:,ɑɹɡj:arg,əm:um,ɛnt:ent;~~ɑ~ə~ɛ~
ɔɹɡən:organ;:,ɔɹɡ:org,ən:an;~~ɔ~ə~
ɔɹɡənaɪz:organize;:,ɔɹɡ:org,ən:an,aɪz:ize;~~ɔ~ə~aɪ~
ɑbləɡeɪʃən:obligation;:,ɑbl:obl,əɡ:ig,eɪʃ:at,ən:ion;~~ɑ~ə~eɪ~ə~
ɛdətɔɹɪəlɪsts:editorialists;:,ɛd:ed,ət:it,ɔɹ:or,ɪ:i,əl:al,ɪsts:ists;~~ɛ~ə~ɔ~ɪ~ə~ɪ~
ɛdʒəkeɪʃən:education;:,ɛdʒ:ed,ək:uc,eɪʃ:at,ən:ion;~~ɛ~ə~eɪ~ə~
ɛkspləneɪʃən:explanation;:,ɛkspl:expl,ən:an,eɪʃ:at,ən:ion;~~ɛ~ə~eɪ~ə~
ɛkstɹəɔɹdənɛɹɪ:extraordinary;:,ɛkstɹ:extr,ə:a,ɔɹd:ord,ən:in,ɛɹ:ar,ɪ:y;~~ɛ~ə~ɔ~ə~ɛ~ɪ~
ɛksəkjuʃənəɹz:executioners;:,ɛks:ex,əkj:ec,uʃ:ut,ən:ion,əɹz:ers;~~ɛ~ə~u~ə~ə~
ɛkənɑmɪk:economic;:,ɛk:ec,ən:on,ɑm:om,ɪk:ic;~~ɛ~ə~ɑ~ɪ~
ɔltəɡɛðəɹ:altogether;:,ɔl:al,t:t,əɡ:og,ɛð:eth,əɹ:er;~~ɔ~~ə~ɛ~ə~
ɔlðoʊ:although;:,ɔl:al,ð:th,oʊ:ough;~~ɔ~~oʊ~
ɪmplænt:implant;:,ɪm:im,pl:pl,ænt:ant;~~ɪ~~æ~
ɪmplɪsətlɪ:implicitly;:,ɪm:im,pl:pl,ɪs:ic,ətl:itl,ɪ:y;~~ɪ~~ɪ~ə~ɪ~
ɪmædʒən:imagine;:,ɪm:im,ædʒ:ag,ən:ine;~~ɪ~æ~ə~
ɪmædʒɪnətɪv:imaginative;:,ɪm:im,ædʒ:ag,ɪn:in,ət:at,ɪv:ive;~~ɪ~æ~ɪ~ə~ɪ~
ɪmædʒɪnɛɹɪ:imaginary;:,ɪm:im,ædʒ:ag,ɪn:in,ɛɹ:ar,ɪ:y;~~ɪ~æ~ɪ~ɛ~ɪ~
ɪmædʒəneɪʃən:imagination;:,ɪm:im,ædʒ:ag,ən:in,eɪʃ:at,ən:ion;~~ɪ~æ~ə~eɪ~ə~
ɛmbæɹəst:embarrassed;:,ɛmb:emb,æɹ:arr,əst:assed;~~ɛ~æ~ə~
ɛmbɹeɪs:embrace;:,ɛmbɹ:embr,eɪs:ace;~~ɛ~eɪ~
ɛmbɹeɪst:embraced;:,ɛmbɹ:embr,eɪst:aced;~~ɛ~eɪ~
ɪmidiət:immediate;:,ɪm:imm,id:ed,i:i,ət:ate;~~ɪ~i~i~ə~
ɪmpækt:impact;:,ɪmp:imp,ækt:act;~~ɪ~æ~
ɪmpækts:impacts;:,ɪmp:imp,ækts:acts;~~ɪ~æ~
ɪmpəɹɪɑlɪ:imperiale;:,ɪmp:imp,əɹ:er,ɪ:i,ɑl:al,ɪ:e;~~ɪ~ə~ɪ~ɑ~ɪ~
ɪmpɑsəbl:impossible;:,ɪmp:imp,ɑs:oss,əbl:ible;~~ɪ~ɑ~ə~
ɪmpɔɹtəns:importance;:,ɪmp:imp,ɔɹt:ort,əns:ance;~~ɪ~ɔ~ə~
ɪmpɔɹtənt:important;:,ɪmp:imp,ɔɹt:ort,ənt:ant;~~ɪ~ɔ~ə~
ɪmpɹuv:improve;:,ɪmpɹ:impr,uv:ove;~~ɪ~u~
ɪmpɹuvmənt:improvement;:,ɪmpɹ:impr,uvm:ovem,ənt:ent;~~ɪ~u~ə~
ɪmpɹɛʃənɪst:impressionist;:,ɪmpɹ:impr,ɛʃ:ess,ən:ion,ɪst:ist;~~ɪ~ɛ~ə~ɪ~
ɪmjunɪtɪz:immunities;:,ɪmj:imm,un:un,ɪt:it,ɪz:ies;~~ɪ~u~ɪ~ɪ~
ɪməteɪʃən:imitation;:,ɪm:im,ət:it,eɪʃ:at,ən:ion;~~ɪ~ə~eɪ~ə~
ɪmɛns:immense;:,ɪm:imm,ɛns:ense;~~ɪ~ɛ~
ʌndəmɪnɪʃt:undiminished;:,ʌn:un,d:d,əm:im,ɪn:in,ɪʃt:ished;~~ʌ~~ə~ɪ~ɪ~
ʌndɪstɪŋɡwɪʃt:undistinguished;:,ʌn:un,d:d,ɪst:ist,ɪŋɡw:ingu,ɪʃt:ished;~~ʌ~~ɪ~ɪ~ɪ~
ɪndɛtɪdnɪs:indebtedness;:,ɪn:in,d:d,ɛt:ebt,ɪd:ed,n:n,ɪs:ess;~~ɪ~~ɛ~ɪ~~ɪ~
ʌnɪnɪʃɪeɪtɪd:uninitiated;:,ʌn:un,:,ɪn:in,ɪʃ:it,ɪ:i,eɪt:at,ɪd:ed;~~ʌ~~ɪ~ɪ~ɪ~eɪ~ɪ~
ɪnæktɪveɪʃən:inactivation;:,ɪn:in,ækt:act,ɪv:iv,eɪʃ:at,ən:ion;~~ɪ~æ~ɪ~eɪ~ə~
ɪndid:indeed;:,ɪnd:ind,id:eed;~~ɪ~i~
ɪndəvɪdʒəwəlz:individuals;:,ɪnd:ind,əv:iv,ɪdʒ:id,əw:u,əlz:als;~~ɪ~ə~ɪ~ə~ə~
ɪndəvɪdʒʊəl:individual;:,ɪnd:ind,əv:iv,ɪdʒ:id,ʊ:u,əl:al;~~ɪ~ə~ɪ~ʊ~ə~
ʌndəɹniθ:underneath;:,ʌnd:und,əɹ:er,n:n,iθ:eath;~~ʌ~ə~~i~
ʌndəɹstænd:understand;:,ʌnd:und,əɹst:erst,ænd:and;~~ʌ~ə~æ~
ʌndəɹstændɪŋ:understanding;:,ʌnd:und,əɹst:erst,ænd:and,ɪŋ:ing;~~ʌ~ə~æ~ɪ~
ɪndʌstɹɪəl:industrial;:,ɪnd:ind,ʌstɹ:ustr,ɪ:i,əl:al;~~ɪ~ʌ~ɪ~ə~
ɛndʒɔɪ:enjoy;:,ɛndʒ:enj,ɔɪ:oy;~~ɛ~ɔɪ~
ɛndʒɔɪmənt:enjoyment;:,ɛndʒ:enj,ɔɪm:oym,ənt:ent;~~ɛ~ɔɪ~ə~
ɪnfluɛnʃəl:influential;:,ɪnfl:infl,u:u,ɛnʃ:ent,əl:ial;~~ɪ~u~ɛ~ə~
ɪnflɪkʃən:infliction;:,ɪnfl:infl,ɪkʃ:ict,ən:ion;~~ɪ~ɪ~ə~
ɪnfɛkt:infect;:,ɪnf:inf,ɛkt:ect;~~ɪ~ɛ~
ɪnfɛkʃən:infection;:,ɪnf:inf,ɛkʃ:ect,ən:ion;~~ɪ~ɛ~ə~
ɪnfɛkʃəs:infectious;:,ɪnf:inf,ɛkʃ:ect,əs:ious;~~ɪ~ɛ~ə~
ɪnfɜɹd:inferred;:,ɪnf:inf,ɜɹd:erred;~~ɪ~ɜ~
ɪnfɔɹm:inform;:,ɪnf:inf,ɔɹm:orm;~~ɪ~ɔ~
ɪnfɔɹmeɪʃən:information;:,ɪnf:inf,ɔɹm:orm,eɪʃ:at,ən:ion;~~ɪ~ɔ~eɪ~ə~
ɛnkloʊʒəɹ:enclosure;:,ɛnkl:encl,oʊʒ:os,əɹ:ure;~~ɛ~oʊ~ə~
ɪnklud:include;:,ɪnkl:incl,ud:ude;~~ɪ~u~
ɪnkludz:includes;:,ɪnkl:incl,udz:udes;~~ɪ~u~
ɪnkludəd:included;:,ɪnkl:incl,ud:ud,əd:ed;~~ɪ~u~ə~
ɪnkludɪŋ:including;:,ɪnkl:incl,ud:ud,ɪŋ:ing;~~ɪ~u~ɪ~
ɪnklusɪv:inclusive;:,ɪnkl:incl,us:us,ɪv:ive;~~ɪ~u~ɪ~
ɪnkwaɪə:inquire;:,ɪnkw:inqu,aɪ:i,ə:re;~~ɪ~aɪ~ə~
ɪnkwaɪɹi:inquiry;:,ɪnkw:inqu,aɪɹ:ir,i:y;~~ɪ~aɪ~i~
ɛnkɜɹɪdʒ:encourage;:,ɛnk:enc,ɜɹ:ou,ɪdʒ:rage;~~ɛ~ɜ~ɪ~
ɪnkɹis:increase;:,ɪnkɹ:incr,is:ease;~~ɪ~i~
ɪnkɹist:increased;:,ɪnkɹ:incr,ist:eased;~~ɪ~i~
ɪnkɹɛdɪbl:incredible;:,ɪnkɹ:incr,ɛd:ed,ɪbl:ible;~~ɪ~ɛ~ɪ~
ɪnkɹɛdɪblɪ:incredibly;:,ɪnkɹ:incr,ɛd:ed,ɪbl:ibl,ɪ:y;~~ɪ~ɛ~ɪ~ɪ~
ɪnsaɪd:inside;:,ɪns:ins,aɪd:ide;~~ɪ~aɪ~
ɪnskɹɪpʃənz:inscriptions;:,ɪnskɹ:inscr,ɪpʃ:ipt,ənz:ions;~~ɪ~ɪ~ə~
ɪnstɛd:instead;:,ɪnst:inst,ɛd:ead;~~ɪ~ɛ~
ɪnstɹʌkt:instruct;:,ɪnstɹ:instr,ʌkt:uct;~~ɪ~ʌ~
ɪnstɹʌkʃən:instruction;:,ɪnstɹ:instr,ʌkʃ:uct,ən:ion;~~ɪ~ʌ~ə~
ɪnsʌlt:insult;:,ɪns:ins,ʌlt:ult;~~ɪ~ʌ~
ɪntəɹkənɛkʃənz:interconnections;:,ɪnt:int,əɹ:er,k:c,ən:onn,ɛkʃ:ect,ənz:ions;~~ɪ~ə~~ə~ɛ~ə~
ɪntəɹkʌmpənɪ:intercompany;:,ɪnt:int,əɹ:er,k:c,ʌmp:omp,ən:an,ɪ:y;~~ɪ~ə~~ʌ~ə~ɪ~
ɪntəɹlɑk:interlock;:,ɪnt:int,əɹ:er,l:l,ɑk:ock;~~ɪ~ə~~ɑ~
ɛntɜɹteɪnɪŋ:entertaining;:,ɛnt:ent,ɜɹ:er,t:t,eɪn:ain,ɪŋ:ing;~~ɛ~ɜ~~eɪ~ɪ~
ɪntəɹfɪə:interfere;:,ɪnt:int,əɹf:erf,ɪ:er,ə:e;~~ɪ~ə~ɪ~ə~
ɪntəɹfɪɹəns:interference;:,ɪnt:int,əɹf:erf,ɪɹ:er,əns:ence;~~ɪ~ə~ɪ~ə~
ɪntəɹnæʃənəl:international;:,ɪnt:int,əɹn:ern,æʃ:at,ən:ion,əl:al;~~ɪ~ə~æ~ə~ə~
ɪntəɹnæʃənəlaɪzd:internationalized;:,ɪnt:int,əɹn:ern,æʃ:at,ən:ion,əl:al,aɪzd:ized;~~ɪ~ə~æ~ə~ə~aɪ~
ɛntəɹteɪn:entertain;:,ɛnt:ent,əɹt:ert,eɪn:ain;~~ɛ~ə~eɪ~
ɛntəɹteɪnmənt:entertainment;:,ɛnt:ent,əɹt:ert,eɪnm:ainm,ənt:ent;~~ɛ~ə~eɪ~ə~
ɪntəɹʌpt:interrupt;:,ɪnt:int,əɹ:err,ʌpt:upt;~~ɪ~ə~ʌ~
ɪntəɹʌpʃən:interruption;:,ɪnt:int,əɹ:err,ʌpʃ:upt,ən:ion;~~ɪ~ə~ʌ~ə~
ɪntəɡɹeɪʃən:integration;:,ɪnt:int,əɡɹ:egr,eɪʃ:at,ən:ion;~~ɪ~ə~eɪ~ə~
ɪntɛnd:intend;:,ɪnt:int,ɛnd:end;~~ɪ~ɛ~
ɪntɛntʃən:intention;:,ɪnt:int,ɛntʃ:ent,ən:ion;~~ɪ~ɛ~ə~
ɪntɹədus:introduce;:,ɪntɹ:intr,əd:od,us:uce;~~ɪ~ə~u~
ɪntɹədʌkʃən:introduction;:,ɪntɹ:intr,əd:od,ʌkʃ:uct,ən:ion;~~ɪ~ə~ʌ~ə~
ɪntɹəʊdust:introduced;:,ɪntɹ:intr,əʊd:od,ust:uced;~~ɪ~əʊ~u~
ɪnvaɪt:invite;:,ɪnv:inv,aɪt:ite;~~ɪ~aɪ~
ɪnvɪteɪʃən:invitation;:,ɪnv:inv,ɪt:it,eɪʃ:at,ən:ion;~~ɪ~ɪ~eɪ~ə~
ɪnvɑlv:involve;:,ɪnv:inv,ɑlv:olve;~~ɪ~ɑ~
ɪnvɑlvd:involved;:,ɪnv:inv,ɑlvd:olved;~~ɪ~ɑ~
ɪnvɛnt:invent;:,ɪnv:inv,ɛnt:ent;~~ɪ~ɛ~
ɪnvɛntəɹ:inventor;:,ɪnv:inv,ɛnt:ent,əɹ:or;~~ɪ~ɛ~ə~
ɪnvɛnʃən:invention;:,ɪnv:inv,ɛnʃ:ent,ən:ion;~~ɪ~ɛ~ə~
ɪnvɛstmənt:investment;:,ɪnv:inv,ɛstm:estm,ənt:ent;~~ɪ~ɛ~ə~
ɪnvɛstəɹz:investors;:,ɪnv:inv,ɛst:est,əɹz:ors;~~ɪ~ɛ~ə~
ɪnəveɪʃən:innovation;:,ɪn:inn,əv:ov,eɪʃ:at,ən:ion;~~ɪ~ə~eɪ~ə~
ɪnɔɹɡænɪk:inorganic;:,ɪn:in,ɔɹɡ:org,æn:an,ɪk:ic;~~ɪ~ɔ~æ~ɪ~
ɪnʃʊə:insure;:,ɪnʃ:ins,ʊ:u,ə:re;~~ɪ~ʊ~ə~
ɪnʃʊɹəns:insurance;:,ɪnʃ:ins,ʊɹ:ur,əns:ance;~~ɪ~ʊ~ə~
ɪnʃʊɹənsɪz:insurances;:,ɪnʃ:ins,ʊɹ:ur,əns:anc,ɪz:es;~~ɪ~ʊ~ə~ɪ~
